Año,Delitos de mayor connotación social,Homicidios,Robo con violencia o intimidación,Robo de vehículo motorizado,Robo en lugar habitado,Violaciones,Infracción a ley de armas,Porte de armas,Abusos sexuales y otros delitos sexuales,Violencia intrafamiliar,Violencia intrafamiliar a adulto mayor,Violencia intrafamiliar a hombre,Violencia intrafamiliar a mujer,Violencia intrafamiliar a niño
2005,118528,374,8886,1055,4757,273,6867,4508,664,2182,11,138,1932,92
2006,120876,338,9238,787,4752,265,7261,6807,586,6723,37,531,5898,257
2007,135017,306,11442,1438,4467,281,9062,8509,716,12182,91,1001,10661,429
2008,144167,370,11406,1408,4571,443,11397,10599,1083,21320,153,1877,18451,839
2009,160262,423,12145,2206,4893,523,10834,10085,1220,28354,183,2970,23915,1286
2010,154736,350,9453,2543,4626,481,10632,9894,1293,30233,182,3712,24796,1487
2011,168870,371,10130,2678,4557,513,10698,10059,1483,36068,252,4866,29087,1853
2012,156070,432,10040,3526,5367,501,11393,10761,1417,35571,268,5343,28205,1755
2013,147853,342,10089,2859,5525,461,11100,10488,1154,34332,218,5529,27022,1563
2014,146834,325,10189,2462,5523,362,12415,11816,988,31183,206,5050,24578,1349
2015,140269,277,10035,1987,5457,342,13283,12606,970,29226,232,5171,22561,1262
2016,132089,276,9400,1556,5065,326,13347,12571,890,27050,184,4691,21047,1128
2017,131528,300,9477,1090,5080,309,14406,13371,931,28822,236,5133,22447,1006
2018,133671,262,9214,755,4923,327,13248,12129,969,29146,241,5137,22697,1049
2019,132712,265,8630,477,4166,330,10213,9005,1100,30504,281,5305,23742,1115
2020,80580,257,6514,325,2661,326,6471,5206,1055,28327,304,5230,21911,805
2021,58777,192,4304,341,1722,319,6163,4905,1164,30450,268,5306,23610,864
2022,79801,232,7036,470,2539,317,8759,7253,1282,27234,257,4660,21155,773